subject,file_paths,age_class,age_lo,age_hi,age_mid,chunk_minutes
Wilky_raw,data/Wilky.wav,infant,0.00,0.23,0.115,
Prof,data/Prof.wav,infant,0.01,1.21,0.610,
Freud_raw,data/Freud_1.wav,infant,0.07,1.64,0.855,
Gremlin_raw,data/Gremlin.wav,infant,0.70,2.05,1.375,
Plato,data/Plato.wav,infant,0.83,2.35,1.590,
Skosha_raw,data/Skosha.wav,infant,1.41,2.78,2.095,
Moeza_raw,data/Moeza.wav,juvenile,2.52,3.99,3.255,
Mustard_raw,data/Mustard.wav,juvenile,5.64,7.14,6.390,
Pom_raw,data/Pom.wav,juvenile,6.10,7.48,6.790,
Goblin_raw,data/Goblin.wav,juvenile,6.85,8.35,7.600,
Flint_raw,data/Flint_1.wav;data/Flint_1_copy_part2.wav,juvenile,7.37,8.47,7.920,
Sherry_raw,data/Sherry.wav,adolescent,10.09,11.54,10.815,
Gilka_raw,data/Gilka.wav,adolescent,11.11,11.95,11.530,
LittleB_raw,data/Little_Bee.wav,adolescent,11.32,11.62,11.470,
Sniff_raw,data/Sniff.wav,adolescent,12.30,12.98,12.640,
